br_code,Branch,ISP
6518,KANTANAGAR ,BracNet
6519,DOMERHAT,BracNet
6520,KOCHASAHAR,BracNet
6521,NAYABONDOR,BracNet
6522,BARKONA,BracNet
6523,KUPTOLA,BracNet
6524,KATA_BARI,BracNet
6525,JUMARBARI ,BracNet
6607,KAHAROL,BracNet
6608,BULIABAZAR,BracNet
6609,BIRAL,BracNet
6610,DHUKURJHARIHAT,BracNet
6611,KALIAGANJ_DINAJPUR,BracNet
6612,Boardhat,BracNet
6616,SULTANPUR,BracNet
6617,KUTUBDANGA,BracNet
6702,DEBIGONJ,BracNet
6706,ATOARY,BracNet
6709,VOJONPUR,BracNet
6711,LAXMIRHAT,BracNet
6712,KALIGANJHAT,BracNet
6713,JHALAISHALSHIRI,BracNet
6714,KALIAGONJ,BracNet
6716,GOALJHARHAT,BracNet
6717,TIRNOIHAT,BracNet
6718,TOREYA_B,BracNet
6719,BENGHARI_BONGRAM,BracNet
6806,BEGUNBARI,BracNet
6807,BHOMRADOHO,BracNet
6808,JADURANIHAT,BracNet
6813,Awliapur,BracNet
6817,GOGORHAT ,BracNet
6818,BHABNAGONJ,BracNet
6819,KARTIKTOLA,BracNet
6901,ADAMDEGHI,BracNet
6902,SANTAHAR,BracNet
6903,CHAMPAPUR,BracNet
6907,BIJRUL (Gr),BracNet
6908,DHUNDAR,BracNet
6909,DHUNAT (FG),BracNet
6910,MATHURAPUR,BracNet
6911,SONAHATA BAZAR,BracNet
6914,PALLIMONGOLHAT,BracNet
7001,GODAGARI,BracNet
7002,PANCHKUR,BracNet
7006,KETRAHAT,BracNet
7007,FULBARIA_KURIGRAM,BracNet
7008,BARAIHAT,BracNet
7009,GHORAGHAT,Bracnet
7010,DUGDUGIRHAT,BracNet
7012,DANGAPARA,BracNet
7014,BHADURIA,BracNet
7016,NURULHUDA,BracNet
7018,MOSTOFAPUR,BracNet
7020,ATPUKURHAT,BracNet
6710,SONAHAR_JOGONATH,BRACNet(WTX)
6412,NAGESWARI,Bracnet/Link3
6707,MIRZAPUR,BracNet/Metronet/ADN
6414,SINGARDABRI_HAT,Bracnet/Metronet/Circle
5414,GURUDASPUR,BracNet/PCL
6124,MATHERHAT_B,Circle
5308,DURGAPUR_raj,Link3
5309,SARDAH,Link3
5406,SINGRA,Link3
5411,LALPUR,Link3
5419,NALDANGA,Link3
5519,ATRAI,LINK3
5602,AMNURA,Link3
6113,TARAGONJ,Link3
6313,DOANI,LinK3
6420,ZATRAPUR,LINK3
6811,CHOWRANGIBAZAR,LINK3
6915,PATHANMIRZAPUR,Link3
5417,BERILABARI,Link3/ADN
5804,PANCHBIBI,Link3/ADN
5813,DOGACHI,Link3/ADN
5609,GOMOSTAPUR,MetroNet
5615,JAMBARIA ,MetroNet
6010,MEGHAI,Metronet
6606,SHIBRAMPUR,MetroNet
6613,Mangalpur,MetroNet
6715,HARIVASA,Metronet
5325,SIKDARIBAZAR,ADN
6221,KHERKATI,MetroNet/ADN
6316,DOIKHAOWA,MetroNet/ADN
6502,DARIAPUR,MetroNet/ADN
6507,Gobindoganj,Metronet/ADN
6814,CHAROLE,ADN
6816,BHELAJAN,ADN
6820,RUHIA,Metronet/ADN
5311,Bagha,Metronet/ADN/PCL
6405,ROWMARI,Bracnet/ADN
5522,KRISNOPUR,MetroNet/Circle
5608,NEJAMPUR,CIRCLE
5702,Sariakandi,MetroNet/Circle
6704,DHAKKAMARA,Metronet/Circle
6809,FARABARIHAT,MetroNet/Circle
6810,MOHARAJAHAT(DHORMOGOR),Circle
5300,LPO.CAD1.TRG.ETC,N/A
5306,"MOHONPUR
",PCL
5404,KHOLABARIA,PCL
5607,NACHOL,PCL
5610,Rohonpur,PCL
5717,sahnagar,PCL
5905,BERA,PCL
5924,AWRANGOZEB_ROAD,PCL
6002,KHOKSHABARI,PCL
6108,PAIRABAND ,PCL
6112,IKORCHALI,PCL
6121,PORSHURAM,PCL
6305,KALIGANJ_Lalm,PCL
5302,PABA,PCL/ADN
5313,KHARKHARI,PCL/ADN
5402,KAFURIA,PCL/ADN
5403,HALSA,PCL/ADN
5413,WALIA,PCL/ADN
5415,KADAMCHILAN,PCL/ADN
5416,GOWRIPUR,PCL/ADN
5420,CHAPILA,PCL/ADN
5506,RANINAGAR,PCL/ADN
5613,CHATRAJITPUR,PCL/ADN
5708,SEHALIHAT,PCL/ADN
5711,SHIBGONJ_bogn,PCL/ADN
5720,Aleyarhat,PCL/ADN
5803,AKKELPUR,PCL/ADN
5809,KALAI,PCL/ADN
5810,BOTTALI,PCL/ADN
5811,BAGZANA,PCL/ADN
5812,PURANOPOIL,PCL/ADN
5902,CHATMOHOR,PCL/ADN
5904,ATGHORIA,PCL/ADN
5913,SANTHIA,PCL/ADN
5918,SINGA,PCL/ADN
5920,JOYNAGAR,PCL/ADN
6003,SAIDABAD,PCL/ADN
6004,SHAJADPUR,PCL/ADN
6007,NEWARGACHA,PCL/ADN
6015,KAMARKHAND,PCL/ADN
6020,GHURKA,PCL/ADN
6021,MOSHIPUR,PCL/ADN
6105,RANIPUKUR,PCL/ADN
6111,BODORGANJ,PCL/ADN
6114,PIRGONJ_Rang,PCL/ADN
6206,KISHORGONJ,PCL/ADN
6209,JOLDHAKA,PCL/ADN
6210,TENGONMARIHAT,ADN
6212,HAZARIHAT,ADN
6302,TISTA,PCL/ADN
6303,HATIBANDA,PCL/ADN
6311,HARATI_BONDOR,ADN
6312,FOKIRERTOKEYA,PCL/ADN
6410,RAJARHAT,PCL/ADN
6411,ULIPUR,PCL/ADN
6415,BAMUNER_HAT,PCL/ADN
6513,BONARPARA,PCL/ADN
6514,POLASBARI,PCL/ADN
6604,RANIRBANDAR,PCL/ADN
6615,SETABGANJ,PCL/ADN
6804,HORIPUR,PCL/ADN
6812,MOTHERGONJ,PCL/ADN
6815,BOROKHOSABARI,PCL/ADN
6904,DUPCHANCHIA,PCL/ADN
6905,NANDIGRAM,PCL/ADN
6906,BHATRA,PCL/ADN
7017,HAMIDPUR,PCL/ADN
7019,MODHYAPARABAZAR,PCL/ADN
5310,Bhabaniganj,PCL/ADN 
5312,PUTHIA,PCL/ADN 
5323,BINODPUR,PCL/ADN 
5407,CHOWGRAM,PCL/ADN 
5409,Gopalpur ,PCL/ADN 
5412,ABDULPUR,PCL/ADN 
5422,KHEJURTOLA,PCL/ADN 
5903,ISHWARDI,PCL/ADN 
6602,RAMDUBIRHAT,PCL/ADN 
7004,RATONPUR,PCL/ADN 
5408,Boraigram ,PCL/ADN /Bracnet
5303,Huzuripara,PCL/BRACNet(Radio)
5410,Ahmedpur,PCL/circle
5721,"Shajahanpur
",PCL/Circle
6006,PANCHOKUSHI,PCL/Circle
6008,PURNIMAGHAT,PCL/Circle
6014,RAIGONJ_siraj,PCL/Circle
6306,CHAPARHAT,PCL/circle
6409,Fulbari_Dinaj,PCL/Circle
6603,CHIRIRBANDAR,PCL/Circle
7005,BIRAMPUR,PCL/Circle
7015,PARBOTIPUR,PCL/Circle
7011,HAKIMPUR,PCL/Link3/ADN
6708,TETULIA,PCL/MeteoNet/ADN
6805,PIRGONJ-Thaku,PCL/Metronet/ADN
7013,NAWABGONJ,PCL/Metronet/ADN
5405,BAGATIPARA,PCL+Bracnet/ADN
5603,SHIBGONJ,PCL+bracnet/ADN
5707,RAHBAL,PCL+BRAcnet/ADN
